university_slug,program_code,program_name,year,budget_places,tuition,source_url
hse,09.03.04,Программная инженерия,2026,160,720000,https://www.hse.ru/ba/se/
bmstu,09.03.01,Информатика и вычислительная техника,2026,196,426000,https://bmstu.ru/bachelor
